route,bound,from_seq,to_seq,tt_mean,tt_median,tt_std,sample_count,tt_p90,speed_mean,speed_median,speed_std,speed_p90,dist_m,implied_speed
68X,outbound,5,6,808.0,808.0,9.899494936611664,2,813.6,2.04,2.04,0.0282842712474619,2.056,458.34,2.042108910891089
68X,outbound,9,10,757.0,771.0,50.47771785649585,3,793.4,3.3633333333333333,3.29,0.2289832599412745,3.5540000000000003,704.86,3.291175097276265
68X,outbound,8,9,759.3333333333334,769.0,27.79088579612627,3,778.6,2.966666666666667,2.93,0.1096965511460287,3.058,625.28,2.92718855656697
68X,inbound,12,13,644.6666666666666,719.0,194.4642212164832,3,776.6,3.043333333333333,2.53,1.094364351271245,3.946,506.24,2.5347204450625873
68X,outbound,6,7,689.5,689.5,197.2827919510468,2,801.1,2.75,2.75,0.7919595949289333,3.198,505.04,2.636902102973169
